Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,version Booster,Booster landing,Date,Time,Version Booster
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",,Success,2 March 2019,07:49,F9 B5[268]
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",,Success,4 May 2019,06:48,F9 B5
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",,Success,24 May 2019,02:30,F9 B5B1049.3
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",,Success,12 June 2019,14:17,F9 B5B1051.2
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",,Success,25 July 2019,22:01,F9 B5B1056.2
74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",,No attempt,6 August 2019,23:23,F9 B5B1047.3
75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,11 November 2019,14:56,F9 B5
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",,Success,5 December 2019,17:29,F9 B5
77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",,Success,17 December 2019,00:10,F9 B5B1056.3
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,7 January 2020,02:19:21,F9 B5
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",,"No attempt
",19 January 2020,15:30,F9 B5
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,29 January 2020,14:07,F9 B5
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,17 February 2020,15:05,F9 B5
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",,Success,7 March 2020,04:50,F9 B5
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,18 March 2020,12:16,F9 B5
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,22 April 2020,19:30,F9 B5
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",,Success,30 May 2020,19:22,F9 B5
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,4 June 2020,01:25,F9 B5
87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",,Success,13 June 2020,09:21,F9 B5
88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",,Success,30 June 2020,20:10:46,F9 B5
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",,Success,20 July 2020,21:30,F9 B5B1058.2
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",,Success,7 August 2020,05:12,F9 B5
91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",,Success,18 August 2020,14:31,F9 B5B1049.6
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",,Success,30 August 2020,23:18,F9 B5
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,3 September 2020,12:46:14,F9 B5B1060.2
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,6 October 2020,11:29:34,F9 B5B1058.3
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 October 2020,12:25:57,F9 B5B1051.6
96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,24 October 2020,15:31:34,F9 B5
97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",,Success,5 November 2020,23:24:23,F9 B5
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",,Success,16 November 2020,00:27,F9 B5
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",,Success,21 November 2020,17:17:08,F9 B5
100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,25 November 2020,02:13,F9 B5 ♺
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",,Success,6 December 2020,16:17:08,F9 B5 ♺
102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",,Success,13 December 2020,17:30:00,F9 B5 ♺
103,KSC,NROL-108,C,LEO,NRO,"Success
",,Success,19 December 2020,14:00:00,F9 B5 ♺
104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",,Success,8 January 2021,02:15,F9 B5
105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,20 January 2021,13:02,F9 B5B1051.8
